subject_id,defaulted,income_monthly,employment_years,credit_history_months,avg_monthly_spend,late_payments_12m
s_000001,0,24929.44,4.28,19,16141.18,0
s_000002,0,31099.72,5.59,28,17763.5,1
s_000003,1,34076.62,4.25,0,15532.92,0
s_000004,0,47841.4,4.3,12,27483.58,1
s_000005,0,34679.31,5.99,12,20472.31,1
s_000006,0,29616.96,1.88,6,12771.27,0
s_000007,1,33118.23,0.0,24,29302.83,2
s_000008,0,14291.49,4.24,22,9058.39,0
s_000009,0,45287.17,3.91,26,31095.87,0
s_000010,0,45036.07,0.58,14,46020.94,0
s_000011,0,45320.2,4.45,0,21496.43,0
s_000012,0,39569.28,5.75,26,21018.89,1
s_000013,0,34223.79,4.37,0,21786.17,0
s_000014,0,32756.04,5.11,0,14127.05,1
s_000015,0,34623.57,2.62,29,21667.76,0
s_000016,0,29509.95,5.6,24,7784.74,0
s_000017,0,11440.08,2.66,21,9724.56,1
s_000018,1,3983.06,1.03,35,1677.67,0
s_000019,0,29829.78,4.44,20,13177.12,1
s_000020,0,32516.59,8.03,29,26202.03,1
s_000021,0,23961.24,3.96,57,6507.69,0
s_000022,0,28515.64,1.92,35,24894.08,1
s_000023,0,21349.25,2.75,19,14539.89,3
s_000024,0,24775.88,2.83,41,12816.39,0
s_000025,0,23908.6,4.56,43,11153.87,1
s_000026,0,7198.44,3.44,45,4539.89,1
s_000027,0,26938.22,6.83,42,23470.99,4
s_000028,0,25755.98,3.33,36,14617.03,3
s_000029,0,35379.31,0.59,5,7999.52,0
s_000030,0,5725.0,3.0,3,3040.08,0
s_000031,1,39856.35,2.56,0,40240.33,1
s_000032,0,33481.63,6.75,5,22593.37,0
s_000033,0,19071.66,5.55,26,18168.0,0
s_000034,1,16145.24,0.0,38,14241.32,2
s_000035,0,28947.34,6.32,22,18183.0,2
s_000036,0,21992.42,0.0,4,17269.38,0
s_000037,0,25693.43,2.93,13,11233.49,1
s_000038,0,20968.51,2.51,1,8168.49,0
s_000039,0,40088.93,4.98,24,37905.24,0
s_000040,0,27253.22,5.31,13,15187.64,0
s_000041,1,13844.72,3.91,0,11542.85,3
s_000042,0,7936.54,0.0,8,7236.1,1
s_000043,0,35994.84,3.82,48,33480.24,1
s_000044,0,23809.97,2.26,15,23547.97,0
s_000045,0,16868.79,4.72,57,7941.4,0
s_000046,0,34026.57,3.73,38,33563.34,1
s_000047,0,38700.07,3.25,8,11962.94,3
s_000048,0,26020.83,4.55,32,11536.51,0
