txn_id,user_id,ts,amount,merchant_cat,merchant_id,city,country,device_id
t_00000001,u_00083,2026-03-26 08:23:57,9.01,restaurant,m_00334,Seattle,US,d_00039
t_00000002,u_00055,2026-03-27 00:14:57,25.94,grocery,m_00223,Berlin,DE,d_00010
t_00000003,u_00032,2026-03-21 21:59:57,19.05,pharmacy,m_00322,Curitiba,BR,d_00058
t_00000004,u_00147,2026-03-26 19:24:57,77.02,travel,m_00350,Bristol,GB,d_00079
t_00000005,u_00183,2026-03-25 20:58:57,71.01,travel,m_00031,Curitiba,BR,d_00017
t_00000006,u_00150,2026-03-27 02:41:57,32.17,restaurant,m_00186,Bengaluru,IN,d_00237
t_00000007,u_00077,2026-03-22 07:20:57,17.34,restaurant,m_00176,Kano,NG,d_00135
t_00000008,u_00126,2026-03-26 05:27:57,19.04,grocery,m_00343,Seattle,US,d_00108
t_00000009,u_00149,2026-03-24 02:22:57,29.37,restaurant,m_00036,Hamburg,DE,d_00205
t_00000010,u_00166,2026-03-26 04:38:57,16.74,pharmacy,m_00229,Delhi,IN,d_00148
t_00000011,u_00016,2026-03-21 11:50:57,25.62,electronics,m_00148,Manchester,GB,d_00056
t_00000012,u_00043,2026-03-25 07:14:57,41.23,restaurant,m_00282,Mumbai,IN,d_00115
t_00000013,u_00092,2026-03-26 02:15:57,17.12,restaurant,m_00119,London,GB,d_00175
t_00000014,u_00151,2026-03-22 00:06:57,17.99,ecommerce,m_00145,Seattle,US,d_00047
t_00000015,u_00177,2026-03-26 22:33:57,43.4,travel,m_00317,Lagos,NG,d_00220
t_00000016,u_00101,2026-03-24 10:41:57,17.15,restaurant,m_00202,Austin,US,d_00102
t_00000017,u_00154,2026-03-24 20:34:57,14.04,grocery,m_00001,Sao Paulo,BR,d_00014
t_00000018,u_00039,2026-03-25 21:04:57,11.32,ecommerce,m_00178,Sao Paulo,BR,d_00163
t_00000019,u_00123,2026-03-22 09:55:57,39.43,ecommerce,m_00044,Manchester,GB,d_00124
t_00000020,u_00133,2026-03-21 14:41:57,9.6,fuel,m_00271,Delhi,IN,d_00006
t_00000021,u_00179,2026-03-24 07:51:57,28.56,ecommerce,m_00266,Bengaluru,IN,d_00217
t_00000022,u_00163,2026-03-26 11:10:57,84.4,travel,m_00389,Manchester,GB,d_00058
t_00000023,u_00127,2026-03-24 11:50:57,10.96,pharmacy,m_00015,Austin,US,d_00092
t_00000024,u_00115,2026-03-22 21:38:57,17.29,pharmacy,m_00179,Bengaluru,IN,d_00207
t_00000025,u_00124,2026-03-22 14:34:57,100.44,travel,m_00001,Delhi,IN,d_00160
t_00000026,u_00112,2026-03-21 13:01:57,20.51,pharmacy,m_00171,Seattle,US,d_00203
t_00000027,u_00186,2026-03-27 08:32:57,24.85,fuel,m_00066,Austin,US,d_00041
t_00000028,u_00122,2026-03-22 03:51:57,33.97,ecommerce,m_00080,Sao Paulo,BR,d_00169
t_00000029,u_00112,2026-03-24 06:51:57,17.26,fuel,m_00109,Austin,US,d_00224
t_00000030,u_00067,2026-03-26 10:56:57,60.6,restaurant,m_00068,Mumbai,IN,d_00140
t_00000031,u_00108,2026-03-22 15:50:57,25.32,travel,m_00067,Curitiba,BR,d_00212
t_00000032,u_00156,2026-03-24 06:50:57,103.43,electronics,m_00077,Bristol,GB,d_00002
t_00000033,u_00175,2026-03-20 21:26:57,28.8,travel,m_00285,Berlin,DE,d_00133
t_00000034,u_00195,2026-03-23 17:31:57,28.12,grocery,m_00227,Delhi,IN,d_00229
t_00000035,u_00116,2026-03-22 21:09:57,34.97,travel,m_00245,Kano,NG,d_00131
t_00000036,u_00115,2026-03-22 23:54:57,33.39,restaurant,m_00063,Berlin,DE,d_00036
t_00000037,u_00172,2026-03-22 03:18:57,51.0,electronics,m_00063,Kano,NG,d_00078
t_00000038,u_00120,2026-03-26 10:37:57,13.29,pharmacy,m_00049,Berlin,DE,d_00057
t_00000039,u_00104,2026-03-25 19:04:57,19.92,restaurant,m_00101,Delhi,IN,d_00087
t_00000040,u_00113,2026-03-23 04:14:57,24.87,grocery,m_00197,Mumbai,IN,d_00181
t_00000041,u_00027,2026-03-23 12:27:57,105.72,ecommerce,m_00140,Manchester,GB,d_00022
t_00000042,u_00104,2026-03-21 09:36:57,85.92,travel,m_00264,Rio,BR,d_00039
t_00000043,u_00069,2026-03-26 20:51:57,22.83,pharmacy,m_00046,Bengaluru,IN,d_00005
t_00000044,u_00107,2026-03-22 09:55:57,18.13,ecommerce,m_00319,Bristol,GB,d_00238
t_00000045,u_00068,2026-03-26 06:23:57,25.02,fuel,m_00104,Delhi,IN,d_00013
t_00000046,u_00173,2026-03-22 17:34:57,9.0,ecommerce,m_00178,New York,US,d_00046
t_00000047,u_00132,2026-03-25 01:10:57,14.96,fuel,m_00229,Seattle,US,d_00122
t_00000048,u_00130,2026-03-24 12:44:57,32.26,pharmacy,m_00111,Bristol,GB,d_00079
t_00000049,u_00014,2026-03-24 21:50:57,15.92,fuel,m_00008,Austin,US,d_00215
t_00000050,u_00130,2026-03-25 15:34:57,23.35,ecommerce,m_00307,London,GB,d_00172
t_00000051,u_00001,2026-03-24 15:12:57,49.12,ecommerce,m_00169,Sao Paulo,BR,d_00068
t_00000052,u_00047,2026-03-20 15:11:57,30.37,ecommerce,m_00196,Seattle,US,d_00001
t_00000053,u_00024,2026-03-23 05:24:57,52.48,electronics,m_00046,London,GB,d_00068
t_00000054,u_00022,2026-03-24 06:53:57,126.59,travel,m_00385,Bristol,GB,d_00150
t_00000055,u_00185,2026-03-26 07:52:57,50.7,fuel,m_00146,Lagos,NG,d_00127
t_00000056,u_00036,2026-03-23 04:37:57,137.56,travel,m_00386,Sao Paulo,BR,d_00233
t_00000057,u_00022,2026-03-21 03:41:57,19.46,grocery,m_00069,Lagos,NG,d_00008
t_00000058,u_00161,2026-03-26 15:58:57,41.02,pharmacy,m_00273,Abuja,NG,d_00005
t_00000059,u_00024,2026-03-23 04:50:57,19.99,travel,m_00034,Abuja,NG,d_00169
t_00000060,u_00190,2026-03-22 19:58:57,19.5,restaurant,m_00253,Hamburg,DE,d_00167
t_00000061,u_00020,2026-03-20 17:14:57,10.78,fuel,m_00170,Delhi,IN,d_00154
t_00000062,u_00124,2026-03-26 10:52:57,31.66,restaurant,m_00138,Lagos,NG,d_00016
t_00000063,u_00074,2026-03-25 22:58:57,19.84,restaurant,m_00239,Sao Paulo,BR,d_00119
t_00000064,u_00005,2026-03-22 23:22:57,6.08,restaurant,m_00040,Munich,DE,d_00075
t_00000065,u_00020,2026-03-24 17:33:57,26.56,grocery,m_00073,Abuja,NG,d_00149
t_00000066,u_00060,2026-03-22 04:15:57,33.59,restaurant,m_00202,Austin,US,d_00128
t_00000067,u_00107,2026-03-25 02:35:57,18.67,restaurant,m_00162,New York,US,d_00089
t_00000068,u_00031,2026-03-27 06:43:57,13.83,fuel,m_00366,Mumbai,IN,d_00238
t_00000069,u_00020,2026-03-26 09:21:57,17.26,restaurant,m_00387,Mumbai,IN,d_00093
t_00000070,u_00081,2026-03-26 21:09:57,26.8,electronics,m_00192,Hamburg,DE,d_00049
t_00000071,u_00141,2026-03-23 19:59:57,28.14,pharmacy,m_00042,Munich,DE,d_00053
t_00000072,u_00125,2026-03-23 12:52:57,45.35,travel,m_00066,Manchester,GB,d_00013
t_00000073,u_00104,2026-03-21 10:21:57,5.73,fuel,m_00155,Munich,DE,d_00168
t_00000074,u_00054,2026-03-21 14:36:57,38.74,electronics,m_00255,Rio,BR,d_00129
t_00000075,u_00045,2026-03-20 19:19:57,91.41,travel,m_00047,Mumbai,IN,d_00088
t_00000076,u_00192,2026-03-21 06:46:57,20.26,restaurant,m_00197,Berlin,DE,d_00223
t_00000077,u_00128,2026-03-23 00:48:57,162.26,travel,m_00185,Bristol,GB,d_00072
t_00000078,u_00024,2026-03-27 06:10:57,37.21,fuel,m_00197,Munich,DE,d_00070
t_00000079,u_00126,2026-03-22 07:59:57,18.35,grocery,m_00201,Rio,BR,d_00001
t_00000080,u_00039,2026-03-24 00:47:57,26.42,pharmacy,m_00056,Abuja,NG,d_00134
t_00000081,u_00033,2026-03-27 05:00:57,13.61,ecommerce,m_00271,Lagos,NG,d_00161
t_00000082,u_00050,2026-03-24 04:13:57,16.8,ecommerce,m_00115,Curitiba,BR,d_00100
t_00000083,u_00166,2026-03-24 01:46:57,7.54,fuel,m_00244,Sao Paulo,BR,d_00215
t_00000084,u_00015,2026-03-24 18:55:57,8.1,fuel,m_00256,Lagos,NG,d_00006
t_00000085,u_00059,2026-03-23 21:35:57,31.01,grocery,m_00357,Mumbai,IN,d_00127
t_00000086,u_00190,2026-03-23 04:51:57,20.9,travel,m_00035,London,GB,d_00217
t_00000087,u_00120,2026-03-23 02:48:57,24.4,ecommerce,m_00390,Delhi,IN,d_00057
t_00000088,u_00125,2026-03-21 06:15:57,29.06,pharmacy,m_00029,Rio,BR,d_00107
t_00000089,u_00048,2026-03-22 16:29:57,47.58,restaurant,m_00365,Bengaluru,IN,d_00101
t_00000090,u_00168,2026-03-24 08:24:57,259.39,travel,m_00383,Hamburg,DE,d_00240
t_00000091,u_00114,2026-03-26 23:03:57,12.0,grocery,m_00002,Austin,US,d_00044
t_00000092,u_00195,2026-03-25 15:42:57,12.39,restaurant,m_00183,Mumbai,IN,d_00054
t_00000093,u_00050,2026-03-25 04:21:57,12.28,ecommerce,m_00378,Munich,DE,d_00083
t_00000094,u_00011,2026-03-27 11:12:57,9.12,grocery,m_00238,New York,US,d_00097
t_00000095,u_00087,2026-03-23 17:05:57,34.0,ecommerce,m_00172,Curitiba,BR,d_00093
t_00000096,u_00077,2026-03-24 23:22:57,13.59,pharmacy,m_00387,Lagos,NG,d_00001
t_00000097,u_00065,2026-03-22 07:09:57,80.71,restaurant,m_00253,London,GB,d_00234
t_00000098,u_00156,2026-03-22 09:30:57,14.3,ecommerce,m_00164,Hamburg,DE,d_00061
t_00000099,u_00064,2026-03-21 16:09:57,18.84,grocery,m_00333,Seattle,US,d_00105
t_00000100,u_00108,2026-03-23 05:59:57,16.95,pharmacy,m_00229,Manchester,GB,d_00128
t_00000101,u_00192,2026-03-24 19:40:57,37.57,electronics,m_00397,Abuja,NG,d_00138
t_00000102,u_00066,2026-03-27 03:44:57,16.8,ecommerce,m_00102,Berlin,DE,d_00189
t_00000103,u_00049,2026-03-25 20:30:57,5.79,grocery,m_00203,Curitiba,BR,d_00084
t_00000104,u_00010,2026-03-21 22:23:57,12.56,grocery,m_00244,Manchester,GB,d_00027
t_00000105,u_00013,2026-03-23 12:48:57,121.56,travel,m_00299,Delhi,IN,d_00049
t_00000106,u_00199,2026-03-24 18:30:57,28.73,pharmacy,m_00004,Seattle,US,d_00200
t_00000107,u_00088,2026-03-20 16:56:57,29.84,grocery,m_00105,Delhi,IN,d_00037
t_00000108,u_00084,2026-03-26 19:29:57,5.52,pharmacy,m_00191,London,GB,d_00105
t_00000109,u_00124,2026-03-22 10:31:57,28.72,restaurant,m_00052,Berlin,DE,d_00017
t_00000110,u_00102,2026-03-27 00:31:57,48.35,ecommerce,m_00210,Mumbai,IN,d_00179
t_00000111,u_00092,2026-03-20 15:26:57,32.94,restaurant,m_00010,Mumbai,IN,d_00107
t_00000112,u_00112,2026-03-22 10:13:57,19.48,fuel,m_00217,Austin,US,d_00231
t_00000113,u_00034,2026-03-24 19:05:57,8.01,grocery,m_00283,Manchester,GB,d_00004
t_00000114,u_00189,2026-03-22 19:43:57,10.57,fuel,m_00075,Delhi,IN,d_00130
t_00000115,u_00078,2026-03-22 09:35:57,125.58,electronics,m_00023,Hamburg,DE,d_00033
t_00000116,u_00164,2026-03-23 01:23:57,92.85,electronics,m_00114,Sao Paulo,BR,d_00202
t_00000117,u_00011,2026-03-22 18:25:57,23.81,travel,m_00081,Berlin,DE,d_00103
t_00000118,u_00011,2026-03-26 20:02:57,22.96,travel,m_00388,Abuja,NG,d_00227
t_00000119,u_00161,2026-03-25 15:50:57,19.61,ecommerce,m_00333,Berlin,DE,d_00200
t_00000120,u_00129,2026-03-25 18:58:57,16.1,fuel,m_00012,Austin,US,d_00113
t_00000121,u_00046,2026-03-25 14:31:57,22.68,restaurant,m_00205,Austin,US,d_00208
t_00000122,u_00130,2026-03-26 09:30:57,46.21,pharmacy,m_00021,New York,US,d_00131
t_00000123,u_00021,2026-03-21 19:45:57,89.87,electronics,m_00259,Berlin,DE,d_00014
t_00000124,u_00050,2026-03-22 09:11:57,13.07,restaurant,m_00148,Bristol,GB,d_00034
t_00000125,u_00083,2026-03-27 07:27:57,153.79,travel,m_00141,Hamburg,DE,d_00230
t_00000126,u_00068,2026-03-23 17:47:57,41.52,travel,m_00122,Bengaluru,IN,d_00158
t_00000127,u_00174,2026-03-26 12:13:57,58.98,restaurant,m_00087,Delhi,IN,d_00084
t_00000128,u_00149,2026-03-24 20:26:57,36.22,grocery,m_00130,Rio,BR,d_00177
t_00000129,u_00095,2026-03-21 03:01:57,8.34,fuel,m_00185,Mumbai,IN,d_00148
t_00000130,u_00076,2026-03-23 02:21:57,158.36,travel,m_00130,Delhi,IN,d_00210
t_00000131,u_00039,2026-03-20 19:55:57,27.3,travel,m_00321,Munich,DE,d_00075
t_00000132,u_00014,2026-03-24 00:04:57,65.11,travel,m_00182,Mumbai,IN,d_00001
t_00000133,u_00151,2026-03-21 15:59:57,12.59,fuel,m_00188,Sao Paulo,BR,d_00035
