txn_id,user_id,ts,amount,merchant_cat,merchant_id,city,country,device_id,velocity,amount_deviation,new_merchant,new_city,new_device,geo_mismatch,fraud_score,fraud_band
t_00000001,u_00083,2026-03-26 08:23:57,9.01,restaurant,m_00334,Seattle,US,d_00039,5,0.9249201914431016,0,0,0,1,1.0,high
t_00000002,u_00055,2026-03-27 00:14:57,25.94,grocery,m_00223,Berlin,DE,d_00010,5,0.28467830247399345,0,0,0,1,1.0,high
t_00000003,u_00032,2026-03-21 21:59:57,19.05,pharmacy,m_00322,Curitiba,BR,d_00058,2,0.6139577668587246,0,0,0,1,1.0,high
t_00000004,u_00147,2026-03-26 19:24:57,77.02,travel,m_00350,Bristol,GB,d_00079,1,2.251378120423198,0,0,0,1,1.0,high
t_00000005,u_00183,2026-03-25 20:58:57,71.01,travel,m_00031,Curitiba,BR,d_00017,3,2.0872308859583444,0,0,0,1,1.0,high
t_00000006,u_00150,2026-03-27 02:41:57,32.17,restaurant,m_00186,Bengaluru,IN,d_00237,7,0.22192310491568917,0,0,0,1,1.0,high
t_00000007,u_00077,2026-03-22 07:20:57,17.34,restaurant,m_00176,Kano,NG,d_00135,1,0.3777133360928761,0,0,0,1,1.0,high
t_00000008,u_00126,2026-03-26 05:27:57,19.04,grocery,m_00343,Seattle,US,d_00108,2,0.7649698506539001,0,0,0,1,1.0,high
t_00000009,u_00149,2026-03-24 02:22:57,29.37,restaurant,m_00036,Hamburg,DE,d_00205,3,0.04111782226536725,0,0,0,1,1.0,high
t_00000010,u_00166,2026-03-26 04:38:57,16.74,pharmacy,m_00229,Delhi,IN,d_00148,1,0.5895195421445405,0,0,0,1,1.0,high
t_00000011,u_00016,2026-03-21 11:50:57,25.62,electronics,m_00148,Manchester,GB,d_00056,2,0.3608293586016928,0,0,0,1,1.0,high
t_00000012,u_00043,2026-03-25 07:14:57,41.23,restaurant,m_00282,Mumbai,IN,d_00115,5,0.09507185074473738,0,0,0,1,1.0,high
t_00000013,u_00092,2026-03-26 02:15:57,17.12,restaurant,m_00119,London,GB,d_00175,7,0.7735126414425854,0,0,0,0,1.0,high
t_00000014,u_00151,2026-03-22 00:06:57,17.99,ecommerce,m_00145,Seattle,US,d_00047,2,0.6761330503368486,0,0,0,1,1.0,high
t_00000015,u_00177,2026-03-26 22:33:57,43.4,travel,m_00317,Lagos,NG,d_00220,1,0.47212189221605616,0,0,0,1,1.0,high
t_00000016,u_00101,2026-03-24 10:41:57,17.15,restaurant,m_00202,Austin,US,d_00102,1,0.49755674960067797,0,0,0,1,1.0,high
t_00000017,u_00154,2026-03-24 20:34:57,14.04,grocery,m_00001,Sao Paulo,BR,d_00014,3,0.9326750233478734,0,0,0,1,1.0,high
t_00000018,u_00039,2026-03-25 21:04:57,11.32,ecommerce,m_00178,Sao Paulo,BR,d_00163,3,0.7689213823396202,0,0,0,1,1.0,high
t_00000019,u_00123,2026-03-22 09:55:57,39.43,ecommerce,m_00044,Manchester,GB,d_00124,7,0.15574606978673572,0,0,0,1,1.0,high
t_00000020,u_00133,2026-03-21 14:41:57,9.6,fuel,m_00271,Delhi,IN,d_00006,5,1.1230262996031253,0,0,0,1,1.0,high
t_00000021,u_00179,2026-03-24 07:51:57,28.56,ecommerce,m_00266,Bengaluru,IN,d_00217,5,0.28102559915249464,0,0,0,1,1.0,high
t_00000022,u_00163,2026-03-26 11:10:57,84.4,travel,m_00389,Manchester,GB,d_00058,3,2.1689294257557226,0,0,0,1,1.0,high
t_00000023,u_00127,2026-03-24 11:50:57,10.96,pharmacy,m_00015,Austin,US,d_00092,1,0.656558715842499,0,0,0,1,1.0,high
t_00000024,u_00115,2026-03-22 21:38:57,17.29,pharmacy,m_00179,Bengaluru,IN,d_00207,3,0.9463211647579589,0,0,0,1,1.0,high
t_00000025,u_00124,2026-03-22 14:34:57,100.44,travel,m_00001,Delhi,IN,d_00160,6,1.5600446026901116,0,0,0,1,1.0,high
t_00000026,u_00112,2026-03-21 13:01:57,20.51,pharmacy,m_00171,Seattle,US,d_00203,1,0.5849542889882043,0,0,0,1,1.0,high
t_00000027,u_00186,2026-03-27 08:32:57,24.85,fuel,m_00066,Austin,US,d_00041,0,0.47496506173444325,0,0,0,1,1.0,high
t_00000028,u_00122,2026-03-22 03:51:57,33.97,ecommerce,m_00080,Sao Paulo,BR,d_00169,3,0.3014549546769214,0,0,0,1,1.0,high
t_00000029,u_00112,2026-03-24 06:51:57,17.26,fuel,m_00109,Austin,US,d_00224,1,0.6761162106473442,0,0,0,1,1.0,high
t_00000030,u_00067,2026-03-26 10:56:57,60.6,restaurant,m_00068,Mumbai,IN,d_00140,5,1.0011061231387364,0,0,0,1,1.0,high
t_00000031,u_00108,2026-03-22 15:50:57,25.32,travel,m_00067,Curitiba,BR,d_00212,3,0.4828422100888556,0,0,0,1,1.0,high
t_00000032,u_00156,2026-03-24 06:50:57,103.43,electronics,m_00077,Bristol,GB,d_00002,4,1.3766891674294626,0,0,0,1,1.0,high
t_00000033,u_00175,2026-03-20 21:26:57,28.8,travel,m_00285,Berlin,DE,d_00133,1,0.27778034477496927,0,0,0,1,1.0,high
t_00000034,u_00195,2026-03-23 17:31:57,28.12,grocery,m_00227,Delhi,IN,d_00229,4,0.35945502584171835,0,0,0,1,1.0,high
t_00000035,u_00116,2026-03-22 21:09:57,34.97,travel,m_00245,Kano,NG,d_00131,5,0.14634301309884162,0,0,0,1,1.0,high
t_00000036,u_00115,2026-03-22 23:54:57,33.39,restaurant,m_00063,Berlin,DE,d_00036,4,0.18599625258373728,0,0,0,0,1.0,high
t_00000037,u_00172,2026-03-22 03:18:57,51.0,electronics,m_00063,Kano,NG,d_00078,2,0.2739776883182091,0,0,0,1,1.0,high
t_00000038,u_00120,2026-03-26 10:37:57,13.29,pharmacy,m_00049,Berlin,DE,d_00057,3,0.730370981998703,0,0,0,1,1.0,high
t_00000039,u_00104,2026-03-25 19:04:57,19.92,restaurant,m_00101,Delhi,IN,d_00087,1,0.3752439011127238,0,0,0,1,1.0,high
t_00000040,u_00113,2026-03-23 04:14:57,24.87,grocery,m_00197,Mumbai,IN,d_00181,3,0.12911145208867697,0,0,0,1,1.0,high
t_00000041,u_00027,2026-03-23 12:27:57,105.72,ecommerce,m_00140,Manchester,GB,d_00022,1,2.569431112110427,0,0,0,1,1.0,high
t_00000042,u_00104,2026-03-21 09:36:57,85.92,travel,m_00264,Rio,BR,d_00039,2,1.0863326823915347,0,0,0,1,1.0,high
t_00000043,u_00069,2026-03-26 20:51:57,22.83,pharmacy,m_00046,Bengaluru,IN,d_00005,4,0.5242600294045701,0,0,0,1,1.0,high
t_00000044,u_00107,2026-03-22 09:55:57,18.13,ecommerce,m_00319,Bristol,GB,d_00238,4,0.5878425753060597,0,0,0,1,1.0,high
t_00000045,u_00068,2026-03-26 06:23:57,25.02,fuel,m_00104,Delhi,IN,d_00013,6,0.45682168073132573,0,0,0,1,1.0,high
t_00000046,u_00173,2026-03-22 17:34:57,9.0,ecommerce,m_00178,New York,US,d_00046,11,1.012673989596895,0,0,0,0,1.0,high
t_00000047,u_00132,2026-03-25 01:10:57,14.96,fuel,m_00229,Seattle,US,d_00122,2,0.4146050321811431,0,0,0,1,1.0,high
t_00000048,u_00130,2026-03-24 12:44:57,32.26,pharmacy,m_00111,Bristol,GB,d_00079,4,0.15026204643039648,0,0,0,1,1.0,high
t_00000049,u_00014,2026-03-24 21:50:57,15.92,fuel,m_00008,Austin,US,d_00215,2,0.6150560736301562,0,0,0,1,1.0,high
t_00000050,u_00130,2026-03-25 15:34:57,23.35,ecommerce,m_00307,London,GB,d_00172,5,0.37861901944024334,0,0,0,0,1.0,high
t_00000051,u_00001,2026-03-24 15:12:57,49.12,ecommerce,m_00169,Sao Paulo,BR,d_00068,4,1.1211251485057425,0,0,0,1,1.0,high
t_00000052,u_00047,2026-03-20 15:11:57,30.37,ecommerce,m_00196,Seattle,US,d_00001,1,0.34510087667471084,0,0,0,1,1.0,high
t_00000053,u_00024,2026-03-23 05:24:57,52.48,electronics,m_00046,London,GB,d_00068,5,0.9505381066225834,0,0,0,1,1.0,high
t_00000054,u_00022,2026-03-24 06:53:57,126.59,travel,m_00385,Bristol,GB,d_00150,5,2.4769706027369773,0,0,0,1,1.0,high
t_00000055,u_00185,2026-03-26 07:52:57,50.7,fuel,m_00146,Lagos,NG,d_00127,6,0.7648040572311605,0,0,0,1,1.0,high
t_00000056,u_00036,2026-03-23 04:37:57,137.56,travel,m_00386,Sao Paulo,BR,d_00233,7,2.407461828886496,0,0,0,1,1.0,high
t_00000057,u_00022,2026-03-21 03:41:57,19.46,grocery,m_00069,Lagos,NG,d_00008,1,0.5092918629501479,0,0,0,1,1.0,high
t_00000058,u_00161,2026-03-26 15:58:57,41.02,pharmacy,m_00273,Abuja,NG,d_00005,5,0.3558103952127633,0,0,0,0,1.0,high
t_00000059,u_00024,2026-03-23 04:50:57,19.99,travel,m_00034,Abuja,NG,d_00169,4,0.5913257850321016,0,0,0,1,1.0,high
t_00000060,u_00190,2026-03-22 19:58:57,19.5,restaurant,m_00253,Hamburg,DE,d_00167,1,0.566286212023993,0,0,0,1,1.0,high
t_00000061,u_00020,2026-03-20 17:14:57,10.78,fuel,m_00170,Delhi,IN,d_00154,0,0.9908715179557581,0,0,0,0,1.0,high
t_00000062,u_00124,2026-03-26 10:52:57,31.66,restaurant,m_00138,Lagos,NG,d_00016,5,0.4352915695268754,0,0,0,1,1.0,high
t_00000063,u_00074,2026-03-25 22:58:57,19.84,restaurant,m_00239,Sao Paulo,BR,d_00119,3,0.4995858823055626,0,0,0,1,1.0,high
t_00000064,u_00005,2026-03-22 23:22:57,6.08,restaurant,m_00040,Munich,DE,d_00075,4,0.9837162034058298,0,0,0,1,1.0,high
t_00000065,u_00020,2026-03-24 17:33:57,26.56,grocery,m_00073,Abuja,NG,d_00149,3,0.5775077148553258,0,0,0,1,1.0,high
t_00000066,u_00060,2026-03-22 04:15:57,33.59,restaurant,m_00202,Austin,US,d_00128,3,0.26521836342992455,0,0,0,1,1.0,high
t_00000067,u_00107,2026-03-25 02:35:57,18.67,restaurant,m_00162,New York,US,d_00089,2,0.5769849226645999,0,0,0,1,1.0,high
t_00000068,u_00031,2026-03-27 06:43:57,13.83,fuel,m_00366,Mumbai,IN,d_00238,4,0.5616080521752431,0,0,0,1,1.0,high
t_00000069,u_00020,2026-03-26 09:21:57,17.26,restaurant,m_00387,Mumbai,IN,d_00093,4,0.8211251653517783,0,0,0,1,1.0,high
t_00000070,u_00081,2026-03-26 21:09:57,26.8,electronics,m_00192,Hamburg,DE,d_00049,0,0.4653816733205971,0,0,0,0,1.0,high
t_00000071,u_00141,2026-03-23 19:59:57,28.14,pharmacy,m_00042,Munich,DE,d_00053,5,0.4947532045661378,0,0,0,1,1.0,high
t_00000072,u_00125,2026-03-23 12:52:57,45.35,travel,m_00066,Manchester,GB,d_00013,3,0.05733709234479149,0,0,0,1,1.0,high
t_00000073,u_00104,2026-03-21 10:21:57,5.73,fuel,m_00155,Munich,DE,d_00168,3,0.6894828665661394,0,0,0,1,1.0,high
t_00000074,u_00054,2026-03-21 14:36:57,38.74,electronics,m_00255,Rio,BR,d_00129,3,0.12545201324136268,0,0,0,1,1.0,high
t_00000075,u_00045,2026-03-20 19:19:57,91.41,travel,m_00047,Mumbai,IN,d_00088,0,0.9507190032554682,0,0,0,1,1.0,high
t_00000076,u_00192,2026-03-21 06:46:57,20.26,restaurant,m_00197,Berlin,DE,d_00223,3,0.5205410332971239,0,0,0,1,1.0,high
t_00000077,u_00128,2026-03-23 00:48:57,162.26,travel,m_00185,Bristol,GB,d_00072,6,3.9495949055847603,0,0,0,1,1.0,high
t_00000078,u_00024,2026-03-27 06:10:57,37.21,fuel,m_00197,Munich,DE,d_00070,3,0.225876314515257,0,0,0,1,1.0,high
t_00000079,u_00126,2026-03-22 07:59:57,18.35,grocery,m_00201,Rio,BR,d_00001,2,0.7832528155638824,0,0,0,1,1.0,high
t_00000080,u_00039,2026-03-24 00:47:57,26.42,pharmacy,m_00056,Abuja,NG,d_00134,3,0.4148844234758759,0,0,0,1,1.0,high
t_00000081,u_00033,2026-03-27 05:00:57,13.61,ecommerce,m_00271,Lagos,NG,d_00161,0,0.9237994449511171,0,0,0,1,1.0,high
t_00000082,u_00050,2026-03-24 04:13:57,16.8,ecommerce,m_00115,Curitiba,BR,d_00100,1,0.750531645800437,0,0,0,1,1.0,high
t_00000083,u_00166,2026-03-24 01:46:57,7.54,fuel,m_00244,Sao Paulo,BR,d_00215,4,0.8359046872546251,0,0,0,1,1.0,high
t_00000084,u_00015,2026-03-24 18:55:57,8.1,fuel,m_00256,Lagos,NG,d_00006,2,1.1068173723391792,0,0,0,1,1.0,high
t_00000085,u_00059,2026-03-23 21:35:57,31.01,grocery,m_00357,Mumbai,IN,d_00127,4,0.24700384110199308,0,0,0,1,1.0,high
t_00000086,u_00190,2026-03-23 04:51:57,20.9,travel,m_00035,London,GB,d_00217,4,0.5262002205269085,0,0,0,1,1.0,high
t_00000087,u_00120,2026-03-23 02:48:57,24.4,ecommerce,m_00390,Delhi,IN,d_00057,5,0.3038056210731984,0,0,0,1,1.0,high
