txn_id,user_id,ts,amount,merchant_cat,merchant_id,city,country,device_id,velocity,amount_deviation,new_merchant,new_city,new_device,geo_mismatch,fraud_score,fraud_band
t_00001036,u_00046,2026-03-20 13:52:57,36.09,electronics,m_00215,Bristol,GB,d_00057,0,0.17873268938144934,1,1,1,0,0.21716737392376995,low
t_00001303,u_00074,2026-03-20 13:54:57,21.03,travel,m_00166,Mumbai,IN,d_00210,0,0.451123913693896,1,1,1,0,0.16053104281563924,low
t_00004256,u_00123,2026-03-20 14:02:57,43.39,restaurant,m_00300,Hamburg,DE,d_00011,0,0.013823615661544601,1,1,1,0,0.3124153650390603,medium
t_00003633,u_00125,2026-03-20 14:04:57,13.53,fuel,m_00237,Hamburg,DE,d_00214,0,0.6798661302286348,1,1,1,0,0.17358067239498987,low
t_00003265,u_00077,2026-03-20 14:05:57,29.83,travel,m_00259,Berlin,DE,d_00223,0,0.0437522638566598,1,1,1,0,0.298130774754227,low
t_00000734,u_00118,2026-03-20 14:06:57,92.82,electronics,m_00074,Berlin,DE,d_00130,0,1.6449229981204752,1,1,1,0,0.4212848428160565,medium
t_00002716,u_00182,2026-03-20 14:06:57,96.18,electronics,m_00266,Rio,BR,d_00026,0,1.787785593759561,1,1,1,0,0.4453207734502064,medium
t_00002486,u_00177,2026-03-20 14:06:57,27.63,grocery,m_00350,Mumbai,IN,d_00090,0,0.20694705514290915,1,1,1,0,0.19729104340185655,low
t_00000826,u_00047,2026-03-20 14:09:57,100.55,travel,m_00276,New York,US,d_00106,0,0.9186183784795396,1,1,1,0,0.21546738487147776,low
t_00001543,u_00142,2026-03-20 14:09:57,108.6,travel,m_00174,Hamburg,DE,d_00041,0,1.796911423825689,1,1,1,0,0.4453207734502064,medium
t_00003780,u_00174,2026-03-20 14:11:57,9.0,grocery,m_00354,Manchester,GB,d_00036,0,1.0138144030656933,1,1,1,0,0.23835149535124933,low
t_00002647,u_00150,2026-03-20 14:14:57,23.65,restaurant,m_00253,Delhi,IN,d_00075,0,0.14519730843431095,1,1,1,0,0.2341103775193063,low
t_00001238,u_00152,2026-03-20 14:14:57,27.21,ecommerce,m_00134,London,GB,d_00224,0,0.7273198463678342,1,1,1,0,0.18375366573975316,low
t_00000203,u_00097,2026-03-20 14:17:57,38.15,pharmacy,m_00193,Sao Paulo,BR,d_00100,0,0.1883281912291033,1,1,1,0,0.21133216123808074,low
t_00001793,u_00093,2026-03-20 14:18:57,42.99,grocery,m_00256,Kano,NG,d_00204,0,0.1938454344326481,1,1,1,0,0.2069912221609248,low
t_00002540,u_00178,2026-03-20 14:20:57,27.15,restaurant,m_00034,Mumbai,IN,d_00195,0,0.2602112956636776,1,1,1,0,0.19697289835418907,low
t_00000674,u_00090,2026-03-20 14:21:57,41.02,grocery,m_00247,Delhi,IN,d_00163,0,0.16406971687806937,1,1,1,0,0.22836949034212373,low
t_00002458,u_00148,2026-03-20 14:21:57,57.84,travel,m_00255,Mumbai,IN,d_00010,0,0.2434284379411944,1,1,1,0,0.19518835236680854,low
t_00004828,u_00136,2026-03-20 14:25:57,36.18,ecommerce,m_00295,London,GB,d_00211,0,0.06002378651592702,1,1,1,0,0.2756654688766268,low
t_00002662,u_00186,2026-03-20 14:26:57,111.14,electronics,m_00031,Berlin,DE,d_00003,0,1.1393247425842383,1,1,1,0,0.29400604186875023,low
t_00001521,u_00187,2026-03-20 14:29:57,31.15,grocery,m_00074,Lagos,NG,d_00192,0,0.3036610946776329,1,1,1,0,0.187559580142876,low
t_00002434,u_00198,2026-03-20 14:30:57,24.79,fuel,m_00028,Munich,DE,d_00168,0,0.3739909253221123,1,1,1,0,0.17144580285255284,low
t_00000876,u_00006,2026-03-20 14:30:57,21.06,restaurant,m_00083,Austin,US,d_00042,0,0.7345272433219112,1,1,1,0,0.18375366573975316,low
t_00003775,u_00019,2026-03-20 14:30:57,34.18,pharmacy,m_00088,Abuja,NG,d_00028,0,0.025682320286779033,1,1,1,0,0.3058772511457176,medium
t_00000725,u_00188,2026-03-20 14:35:57,31.02,restaurant,m_00393,Mumbai,IN,d_00154,0,0.17875137299063312,1,1,1,0,0.21716737392376995,low
t_00002210,u_00114,2026-03-20 14:35:57,15.05,pharmacy,m_00235,Austin,US,d_00231,0,0.5640281041495068,1,1,1,0,0.17536384384738224,low
t_00000415,u_00089,2026-03-20 14:36:57,21.62,fuel,m_00105,Abuja,NG,d_00198,0,0.5938420256577566,1,1,1,0,0.17688171884228887,low
t_00002553,u_00070,2026-03-20 14:39:57,87.2,travel,m_00337,Manchester,GB,d_00042,0,2.009352011337839,1,1,1,0,0.46788016803715016,medium
t_00001831,u_00036,2026-03-20 14:41:57,67.05,electronics,m_00310,Kano,NG,d_00137,0,0.4146144768329174,1,1,1,0,0.17971260693387248,low
t_00003785,u_00169,2026-03-20 14:42:57,28.88,pharmacy,m_00131,New York,US,d_00121,0,0.3652300806954019,1,1,1,0,0.17524011701990638,low
t_00000785,u_00063,2026-03-20 14:43:57,12.84,grocery,m_00326,Abuja,NG,d_00038,0,0.8437331992888839,1,1,1,0,0.20626314579719507,low
t_00003129,u_00132,2026-03-20 14:46:57,17.86,ecommerce,m_00152,Abuja,NG,d_00038,0,0.3724634399613354,1,1,1,0,0.17144580285255284,low
t_00004901,u_00106,2026-03-20 14:47:57,11.13,ecommerce,m_00294,Kano,NG,d_00184,0,0.8822470901856398,1,1,1,0,0.20884483450179037,low
t_00004239,u_00098,2026-03-20 14:48:57,38.25,grocery,m_00391,Manchester,GB,d_00087,0,0.09633626241529632,1,1,1,0,0.2616639532937194,low
t_00004682,u_00200,2026-03-20 14:53:57,12.43,ecommerce,m_00004,Bristol,GB,d_00136,0,1.4168897442013921,1,1,1,0,0.3766982260406532,medium
t_00004085,u_00005,2026-03-20 14:53:57,28.6,ecommerce,m_00359,Berlin,DE,d_00151,0,0.3274983755012328,1,1,1,0,0.1743531347333115,low
t_00002352,u_00030,2026-03-20 14:56:57,21.44,fuel,m_00192,Bengaluru,IN,d_00004,0,0.5204060466444164,1,1,1,0,0.16924639315535128,low
t_00000309,u_00132,2026-03-20 14:58:57,35.6,restaurant,m_00174,Seattle,US,d_00182,1,0.11467314824430447,1,1,1,1,0.3130919789532345,medium
t_00003081,u_00082,2026-03-20 15:05:57,51.25,pharmacy,m_00384,Lagos,NG,d_00010,0,1.5122192946454664,1,1,1,0,0.4028502728668032,medium
t_00001060,u_00078,2026-03-20 15:06:57,25.65,restaurant,m_00305,Sao Paulo,BR,d_00161,0,0.5439493713305985,1,1,1,0,0.17485172084577005,low
t_00001982,u_00173,2026-03-20 15:06:57,11.67,pharmacy,m_00154,London,GB,d_00076,0,0.9156632980641286,1,1,1,0,0.21546738487147776,low
t_00003379,u_00168,2026-03-20 15:06:57,4.53,pharmacy,m_00325,Curitiba,BR,d_00189,0,0.7036800492147341,1,1,1,0,0.17369399158508103,low
t_00000524,u_00012,2026-03-20 15:07:57,19.07,grocery,m_00305,Curitiba,BR,d_00051,0,0.5083676793370007,1,1,1,0,0.16738828949088047,low
t_00004385,u_00162,2026-03-20 15:08:57,19.51,ecommerce,m_00219,Hamburg,DE,d_00104,0,0.8134252243363087,1,1,1,0,0.19873096316160666,low
t_00002988,u_00098,2026-03-20 15:09:57,41.73,electronics,m_00334,Bengaluru,IN,d_00191,1,0.23987821002933454,1,1,1,1,0.28818248465411034,low
t_00003461,u_00052,2026-03-20 15:10:57,21.15,fuel,m_00018,Curitiba,BR,d_00091,0,0.6815148808913262,1,1,1,0,0.17445801913149483,low
t_00000052,u_00047,2026-03-20 15:11:57,30.37,ecommerce,m_00196,Seattle,US,d_00001,1,0.34510087667471084,1,1,1,1,0.2458754310851532,low
t_00003653,u_00164,2026-03-20 15:14:57,62.81,electronics,m_00128,Austin,US,d_00181,0,0.29928569130478466,1,1,1,0,0.187559580142876,low
t_00002425,u_00049,2026-03-20 15:17:57,34.99,restaurant,m_00201,Seattle,US,d_00110,0,0.17816500198836996,1,1,1,0,0.21716737392376995,low
t_00002611,u_00081,2026-03-20 15:18:57,25.39,electronics,m_00214,Mumbai,IN,d_00110,0,0.49915562563370003,1,1,1,0,0.16592031399106477,low
t_00001900,u_00076,2026-03-20 15:19:57,30.98,fuel,m_00154,Bristol,GB,d_00202,0,0.2834358179726426,1,1,1,0,0.18457236839524616,low
t_00000160,u_00178,2026-03-20 15:20:57,23.61,travel,m_00324,Bengaluru,IN,d_00057,1,0.41512075680331384,1,1,1,1,0.24895682673287212,low
t_00000667,u_00077,2026-03-20 15:20:57,37.47,pharmacy,m_00045,Hamburg,DE,d_00236,1,0.16052816783947238,1,1,1,1,0.2964995213797621,low
t_00003352,u_00095,2026-03-20 15:22:57,11.09,fuel,m_00252,Hamburg,DE,d_00058,0,0.9432258804755576,1,1,1,0,0.22101703022686203,low
t_00004469,u_00008,2026-03-20 15:22:57,22.87,ecommerce,m_00110,Bengaluru,IN,d_00053,0,0.7801605086493812,1,1,1,0,0.186436433333102,low
t_00001873,u_00098,2026-03-20 15:26:57,59.99,restaurant,m_00160,Mumbai,IN,d_00211,2,0.9930609581420763,1,1,1,1,0.15913580145158124,low
t_00000111,u_00092,2026-03-20 15:26:57,32.94,restaurant,m_00010,Mumbai,IN,d_00107,0,0.25463305078720266,1,1,1,0,0.19697289835418907,low
t_00003107,u_00193,2026-03-20 15:28:57,34.87,electronics,m_00015,Hamburg,DE,d_00117,0,0.2161117786746746,1,1,1,0,0.19729104340185655,low
t_00002344,u_00181,2026-03-20 15:30:57,18.95,restaurant,m_00366,Austin,US,d_00212,0,0.6193090861983961,1,1,1,0,0.1670954173534832,low
t_00002394,u_00013,2026-03-20 15:42:57,61.09,ecommerce,m_00374,Berlin,DE,d_00125,0,0.5097250856668605,1,1,1,0,0.16924639315535128,low
t_00000431,u_00193,2026-03-20 15:45:57,41.88,fuel,m_00374,Sao Paulo,BR,d_00132,1,0.09428931357352979,1,1,1,1,0.327295552366921,medium
t_00001664,u_00019,2026-03-20 15:45:57,104.58,electronics,m_00255,Bristol,GB,d_00173,1,2.90274925746422,1,1,1,1,0.6490244627130775,medium
t_00000984,u_00010,2026-03-20 15:45:57,4.21,fuel,m_00103,New York,US,d_00207,0,1.017629028427512,1,1,1,0,0.23835149535124933,low
t_00004637,u_00119,2026-03-20 15:46:57,23.45,restaurant,m_00225,Mumbai,IN,d_00018,0,0.5535924159788063,1,1,1,0,0.17485172084577005,low
t_00002919,u_00004,2026-03-20 15:46:57,9.23,fuel,m_00329,Bristol,GB,d_00043,0,1.1907777745222718,1,1,1,0,0.31943745289459147,medium
t_00001020,u_00171,2026-03-20 15:49:57,16.21,restaurant,m_00068,Abuja,NG,d_00122,0,0.9860971257557792,1,1,1,0,0.22740018281063135,low
t_00004344,u_00100,2026-03-20 15:53:57,24.87,ecommerce,m_00100,Bengaluru,IN,d_00057,0,0.39049851983768946,1,1,1,0,0.1731393481229636,low
t_00002584,u_00054,2026-03-20 15:54:57,27.05,restaurant,m_00185,Bengaluru,IN,d_00159,0,0.45126158286535933,1,1,1,0,0.16053104281563924,low
