subject_id,income_monthly,employment_years,credit_history_months,avg_monthly_spend,late_payments_12m,defaulted
subj_000001,24929.44,4.28,19,16141.18,0,0
subj_000002,31099.72,5.59,28,17763.5,1,0
subj_000003,34076.62,4.25,0,15532.92,0,1
subj_000004,47841.4,4.3,12,27483.58,1,0
subj_000005,34679.31,5.99,12,20472.31,1,0
subj_000006,29616.96,1.88,6,12771.27,0,0
subj_000007,33118.23,0.0,24,29302.83,2,1
subj_000008,14291.49,4.24,22,9058.39,0,0
subj_000009,45287.17,3.91,26,31095.87,0,0
subj_000010,45036.07,0.58,14,46020.94,0,0
subj_000011,45320.2,4.45,0,21496.43,0,0
subj_000012,39569.28,5.75,26,21018.89,1,0
subj_000013,34223.79,4.37,0,21786.17,0,0
subj_000014,32756.04,5.11,0,14127.05,1,0
subj_000015,34623.57,2.62,29,21667.76,0,0
subj_000016,29509.95,5.6,24,7784.74,0,0
subj_000017,11440.08,2.66,21,9724.56,1,0
subj_000018,3983.06,1.03,35,1677.67,0,1
subj_000019,29829.78,4.44,20,13177.12,1,0
subj_000020,32516.59,8.03,29,26202.03,1,0
subj_000021,23961.24,3.96,57,6507.69,0,0
subj_000022,28515.64,1.92,35,24894.08,1,0
subj_000023,21349.25,2.75,19,14539.89,3,0
subj_000024,24775.88,2.83,41,12816.39,0,0
subj_000025,23908.6,4.56,43,11153.87,1,0
subj_000026,7198.44,3.44,45,4539.89,1,0
subj_000027,26938.22,6.83,42,23470.99,4,0
subj_000028,25755.98,3.33,36,14617.03,3,0
subj_000029,35379.31,0.59,5,7999.52,0,0
subj_000030,5725.0,3.0,3,3040.08,0,0
subj_000031,39856.35,2.56,0,40240.33,1,1
subj_000032,33481.63,6.75,5,22593.37,0,0
subj_000033,19071.66,5.55,26,18168.0,0,0
subj_000034,16145.24,0.0,38,14241.32,2,1
subj_000035,28947.34,6.32,22,18183.0,2,0
subj_000036,21992.42,0.0,4,17269.38,0,0
subj_000037,25693.43,2.93,13,11233.49,1,0
subj_000038,20968.51,2.51,1,8168.49,0,0
subj_000039,40088.93,4.98,24,37905.24,0,0
subj_000040,27253.22,5.31,13,15187.64,0,0
subj_000041,13844.72,3.91,0,11542.85,3,1
subj_000042,7936.54,0.0,8,7236.1,1,0
subj_000043,35994.84,3.82,48,33480.24,1,0
subj_000044,23809.97,2.26,15,23547.97,0,0
subj_000045,16868.79,4.72,57,7941.4,0,0
subj_000046,34026.57,3.73,38,33563.34,1,0
subj_000047,38700.07,3.25,8,11962.94,3,0
subj_000048,26020.83,4.55,32,11536.51,0,0
subj_000049,4669.5,5.58,29,1759.66,2,0
subj_000050,20411.99,3.73,27,14832.15,1,0
subj_000051,13669.26,0.0,54,7996.72,2,0
subj_000052,17979.77,0.0,10,12111.26,2,1
subj_000053,33502.57,3.94,35,20200.14,0,0
subj_000054,47060.63,1.44,23,33131.02,1,1
subj_000055,26388.53,0.0,31,28291.33,3,0
subj_000056,41737.54,0.0,25,16174.96,0,0
subj_000057,15525.73,6.95,17,6476.89,0,0
subj_000058,31282.66,6.71,36,17932.92,1,0
subj_000059,40285.12,0.29,21,27017.57,0,0
subj_000060,29770.76,2.47,69,24635.56,0,0
subj_000061,23881.27,5.19,41,15810.4,0,0
subj_000062,27860.4,4.96,24,11535.28,1,1
subj_000063,25079.68,4.72,5,18019.62,0,0
subj_000064,12083.34,1.29,34,13095.46,2,0
subj_000065,49933.78,4.29,43,33519.03,1,0
subj_000066,21922.84,0.0,23,20483.31,0,0
subj_000067,20449.3,0.0,24,10442.33,0,0
subj_000068,32337.27,0.0,14,21699.68,0,1
subj_000069,33884.28,0.0,1,25723.21,3,1
subj_000070,35905.33,4.75,30,31219.12,3,0
subj_000071,16224.37,3.09,0,13819.3,0,1
subj_000072,16454.32,4.15,35,12235.91,2,1
subj_000073,36813.53,3.74,10,20927.69,0,0
subj_000074,41993.53,1.77,25,42897.81,4,0
subj_000075,41220.51,3.3,44,11987.33,0,0
subj_000076,36179.29,3.81,47,4037.1,0,0
subj_000077,34109.53,0.3,45,12780.2,2,1
subj_000078,19700.03,5.91,24,12242.18,1,0
subj_000079,18729.85,7.38,54,16187.21,3,0
subj_000080,46770.02,4.69,15,8171.67,4,0
subj_000081,19870.83,5.03,23,9985.79,1,0
subj_000082,19518.29,3.01,38,14337.04,2,0
subj_000083,44388.98,0.0,0,29928.18,0,1
subj_000084,22175.07,2.7,4,16368.77,0,1
subj_000085,33611.32,2.42,7,19753.72,0,0
subj_000086,3000.0,1.82,11,1905.06,1,1
subj_000087,34826.3,8.25,11,31357.09,2,1
subj_000088,27709.43,3.39,31,18878.36,1,0
subj_000089,5288.92,0.79,23,2500.91,0,0
subj_000090,26234.46,4.86,29,27730.66,2,0
subj_000091,33450.83,1.68,22,24494.38,0,0
subj_000092,37934.01,3.37,21,12801.61,0,0
subj_000093,27806.33,2.98,0,29758.21,3,1
subj_000094,3000.0,4.12,30,1618.07,0,0
subj_000095,15726.02,0.0,2,7423.88,1,0
subj_000096,19447.72,1.7,11,9101.09,3,0
subj_000097,31492.26,3.62,0,18363.38,1,1
subj_000098,44044.69,2.12,42,32417.81,0,0
subj_000099,28863.87,4.87,51,14769.19,2,0
subj_000100,29923.43,1.31,30,25822.46,0,1
subj_000101,21412.81,5.22,19,16006.74,0,0
subj_000102,13804.68,5.12,21,11924.06,2,0
subj_000103,19763.61,8.92,12,10383.78,0,0
subj_000104,36842.14,4.52,38,22069.03,0,1
subj_000105,39150.84,3.92,53,24166.21,4,0
subj_000106,27568.64,5.31,62,28332.33,1,0
subj_000107,20435.61,4.6,24,11522.32,0,0
subj_000108,52059.08,4.66,21,37341.77,0,0
