customer_id,timestamp,amount,merchant_category,merchant_id,city,country,device_id
user_0083,2026-03-26 08:23:57,9.01,restaurant,merchant_00334,Seattle,US,device_0039
user_0055,2026-03-27 00:14:57,25.94,grocery,merchant_00223,Berlin,DE,device_0010
user_0032,2026-03-21 21:59:57,19.05,pharmacy,merchant_00322,Curitiba,BR,device_0058
user_0147,2026-03-26 19:24:57,77.02,travel,merchant_00350,Bristol,GB,device_0079
user_0183,2026-03-25 20:58:57,71.01,travel,merchant_00031,Curitiba,BR,device_0017
user_0150,2026-03-27 02:41:57,32.17,restaurant,merchant_00186,Bengaluru,IN,device_0237
user_0077,2026-03-22 07:20:57,17.34,restaurant,merchant_00176,Kano,NG,device_0135
user_0126,2026-03-26 05:27:57,19.04,grocery,merchant_00343,Seattle,US,device_0108
user_0149,2026-03-24 02:22:57,29.37,restaurant,merchant_00036,Hamburg,DE,device_0205
user_0166,2026-03-26 04:38:57,16.74,pharmacy,merchant_00229,Delhi,IN,device_0148
user_0016,2026-03-21 11:50:57,25.62,electronics,merchant_00148,Manchester,GB,device_0056
user_0043,2026-03-25 07:14:57,41.23,restaurant,merchant_00282,Mumbai,IN,device_0115
user_0092,2026-03-26 02:15:57,17.12,restaurant,merchant_00119,London,GB,device_0175
user_0151,2026-03-22 00:06:57,17.99,ecommerce,merchant_00145,Seattle,US,device_0047
user_0177,2026-03-26 22:33:57,43.4,travel,merchant_00317,Lagos,NG,device_0220
user_0101,2026-03-24 10:41:57,17.15,restaurant,merchant_00202,Austin,US,device_0102
user_0154,2026-03-24 20:34:57,14.04,grocery,merchant_00001,Sao Paulo,BR,device_0014
user_0039,2026-03-25 21:04:57,11.32,ecommerce,merchant_00178,Sao Paulo,BR,device_0163
user_0123,2026-03-22 09:55:57,39.43,ecommerce,merchant_00044,Manchester,GB,device_0124
user_0133,2026-03-21 14:41:57,9.6,fuel,merchant_00271,Delhi,IN,device_0006
user_0179,2026-03-24 07:51:57,28.56,ecommerce,merchant_00266,Bengaluru,IN,device_0217
user_0163,2026-03-26 11:10:57,84.4,travel,merchant_00389,Manchester,GB,device_0058
user_0127,2026-03-24 11:50:57,10.96,pharmacy,merchant_00015,Austin,US,device_0092
